2025-08-15T06:12:00.767790 | [NEWS] Lancement boucle d'analyse des news…
2025-08-15T06:12:38.169193 | [NEWS] Aucun élément à analyser dans news_data, skip boucle
2025-08-15T06:21:02.073523 | [MARKET ANALYSIS] Régime détecté: Range/Scalping | Volatilité: 0.0722 | Tendance: 0.0005
2025-08-15T06:21:02.073972 | 🔈 Régime de marché détecté: Range/Scalping
2025-08-15T06:24:04.322354 | Démarrage cycle trading
2025-08-15T06:24:13.296244 | [TRADE-DECISION] BNBUSDC | Action: BUY | Confiance: 0.25 | Score: 0.2486 | Tech: -0.01 | AI: 0.15
2025-08-15T06:24:13.419610 | [TRADE-DECISION] BNBUSDC | Action: BUY | Confiance: 0.28 | Score: 0.2807 | Tech: 0.20 | AI: 0.15
2025-08-15T06:24:13.540722 | [TRADE-DECISION] ADAUSDC | Action: NEUTRAL | Confiance: 0.03 | Score: -0.0344 | Tech: 0.01 | AI: 0.15
2025-08-15T06:24:13.661032 | [TRADE-DECISION] ADAUSDC | Action: NEUTRAL | Confiance: 0.11 | Score: 0.1128 | Tech: 0.03 | AI: 0.15
2025-08-15T06:24:13.779926 | [TRADE-DECISION] ADAUSDC | Action: BUY | Confiance: 0.31 | Score: 0.3083 | Tech: 0.02 | AI: 0.15
2025-08-15T06:24:13.899843 | [TRADE-DECISION] ADAUSDC | Action: NEUTRAL | Confiance: 0.13 | Score: 0.1344 | Tech: 0.09 | AI: 0.15
2025-08-15T06:24:14.022335 | [TRADE-DECISION] ADAUSDC | Action: BUY | Confiance: 0.42 | Score: 0.4247 | Tech: 0.16 | AI: 0.15
2025-08-15T06:24:14.143016 | [TRADE-DECISION] ADAUSDC | Action: BUY | Confiance: 0.34 | Score: 0.3449 | Tech: 0.36 | AI: 0.15
2025-08-15T06:24:14.264184 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.05 | Score: 0.0452 | Tech: 0.01 | AI: 0.15
2025-08-15T06:24:14.383026 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.09 | Score: 0.0873 | Tech: 0.00 | AI: 0.15
2025-08-15T06:24:14.501719 | [TRADE-DECISION] SOLUSDC | Action: BUY | Confiance: 0.32 | Score: 0.3224 | Tech: 0.00 | AI: 0.15
2025-08-15T06:24:14.621196 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.07 | Score: 0.0659 | Tech: 0.05 | AI: 0.15
